dataset_filename,,,,,
CASEBolton_B2324_1_4_WithLabel.png,,,,"(123, 557)","(126, 57)"
CASEBolton_B0113_1_8_WithLabel.png,,,,"(135, 520)","(146, 41)"
CASEBolton_B1892_1_6_WithLabel.png,,,,"(127, 556)","(129, 78)"
CASEBolton_B2290_1_7_WithLabel.png,,,,"(123, 559)","(118, 59)"
CASEBolton_B2130_1_5_WithLabel.png,,,,"(132, 559)","(128, 81)"
CASEBolton_B2259_1_3_WithLabel.png,,,,"(129, 554)","(126, 53)"
CASEBolton_B2290_1_3_WithLabel.png,,,,"(125, 557)","(130, 57)"
CASEBolton_B2290_1_10_WithLabel.png,,,,"(124, 555)","(124, 55)"
CASEBolton_B0119_1_4_WithLabel.png,,,,"(150, 555)","(153, 54)"
CASEBolton_B0826_1_5_WithLabel.png,,,,"(77, 542)","(88, 36)"
CASEBolton_B2398_1_8_WithLabel.png,,,,"(129, 558)","(126, 58)"
CASEBolton_B2326_1_7_WithLabel.png,,,,"(128, 562)","(126, 62)"
CASEBolton_B2378_1_7_WithLabel.png,,,,"(124, 554)","(121, 55)"
CASEBolton_B2378_1_10_WithLabel.png,,,,"(159, 565)","(161, 65)"
CASEBolton_B2140_1_8_WithLabel.png,,,,"(159, 567)","(157, 54)"
CASEBolton_B1269_1_12_WithLabel.png,,,,"(124, 556)","(123, 78)"
CASEBolton_B2262_1_8_WithLabel.png,,,,"(116, 551)","(122, 73)"
CASEBolton_B0130_1_2_WithLabel.png,,,,"(131, 556)","(136, 78)"
CASEBolton_B1984_1_7_WithLabel.png,,,,"(129, 575)","(129, 77)"
CASEBolton_B0259_1_3_WithLabel.png,,,,"(136, 561)","(141, 60)"
CASEBolton_B2380_1_4_WithLabel.png,,,,"(124, 561)","(126, 61)"
CASEBolton_B0130_1_8_WithLabel.png,,,,"(166, 559)","(161, 81)"
CASEBolton_B2130_1_9_WithLabel.png,,,,"(124, 560)","(121, 82)"
CASEBolton_B2147_1_8_WithLabel.png,,,,"(122, 564)","(119, 86)"
CASEBolton_B0945_1_12_WithLabel.png,,,,"(136, 543)","(153, 59)"
CASEBolton_B2131_1_6_WithLabel.png,,,,"(85, 573)","(83, 61)"
CASEBolton_B2398_1_7_WithLabel.png,,,,"(124, 561)","(120, 61)"
CASEBolton_B2290_1_9_WithLabel.png,,,,"(123, 561)","(122, 62)"
CASEBolton_B0119_1_5_WithLabel.png,,,,"(110, 556)","(109, 56)"
CASEBolton_B2252_1_7_WithLabel.png,,,,"(125, 557)","(126, 79)"
CASEBolton_B2235_1_9_WithLabel.png,,,,"(122, 561)","(122, 83)"
CASEBolton_B1984_1_8_WithLabel.png,,,,"(124, 570)","(130, 49)"
CASEBolton_B2147_1_4_WithLabel.png,,,,"(131, 555)","(132, 56)"
CASEBolton_B2398_1_3_WithLabel.png,,,,"(129, 556)","(132, 57)"
CASEBolton_B2326_1_8_WithLabel.png,,,,"(125, 556)","(125, 56)"
CASEBolton_B0259_1_5_WithLabel.png,,,,"(151, 554)","(154, 76)"
CASEBolton_B1946_1_11_WithLabel.png,,,,"(128, 578)","(127, 81)"
CASEBolton_B0130_1_7_WithLabel.png,,,,"(155, 564)","(160, 86)"
CASEBolton_B1892_1_10_WithLabel.png,,,,"(116, 564)","(120, 71)"
CASEBolton_B2140_1_9_WithLabel.png,,,,"(190, 554)","(192, 43)"
CASEBolton_B2262_1_5_WithLabel.png,,,,"(124, 572)","(111, 94)"
CASEBolton_B2252_1_16_WithLabel.png,,,,"(124, 560)","(122, 81)"
CASEBolton_B2380_1_8_WithLabel.png,,,,"(121, 553)","(119, 54)"
CASEBolton_B2219_1_4_WithLabel.png,,,,"(130, 560)","(126, 84)"
CASEBolton_B1051_1_7_WithLabel.png,,,,"(121, 559)","(117, 48)"
CASEBolton_B1204_1_9_WithLabel.png,,,,"(126, 549)","(121, 71)"
CASEBolton_B0130_1_3_WithLabel.png,,,,"(165, 541)","(172, 62)"
CASEBolton_B1269_1_10_WithLabel.png,,,,"(130, 558)","(132, 79)"
CASEBolton_B2290_1_8_WithLabel.png,,,,"(118, 556)","(120, 56)"
CASEBolton_B2290_1_12_WithLabel.png,,,,"(117, 552)","(118, 52)"
CASEBolton_B2252_1_3_WithLabel.png,,,,"(119, 556)","(118, 57)"
