dataset_filename,,,,,,
UOPMathews_018_1_4_WithLabel.png,,,,,"(232, 573)","(229, 157)"
UOPMathews_003_1_5_WithLabel.png,,,,,"(272, 594)","(268, 179)"
UOPMathews_021_1_8_WithLabel.png,,,,,"(242, 570)","(235, 155)"
UOPMathews_032_1_3_WithLabel.png,,,,,"(219, 527)","(215, 111)"
UOPMathews_017_1_6_WithLabel.png,,,,,"(219, 519)","(217, 118)"
UOPMathews_030_1_3_WithLabel.png,,,,,"(261, 626)","(255, 209)"
UOPMathews_015_1_8_WithLabel.png,,,,,"(264, 556)","(256, 154)"
UOPMathews_015_1_7_WithLabel.png,,,,,"(242, 548)","(235, 133)"
UOPMathews_025_1_10_WithLabel.png,,,,,"(230, 554)","(220, 142)"
UOPMathews_031_1_8_WithLabel.png,,,,,"(255, 567)","(246, 165)"
UOPMathews_032_1_2_WithLabel.png,,,,,"(225, 542)","(222, 125)"
UOPMathews_027_1_9_WithLabel.png,,,,,"(257, 551)","(259, 138)"
UOPMathews_015_1_5_WithLabel.png,,,,,"(253, 536)","(252, 121)"
UOPMathews_006_1_6_WithLabel.png,,,,,"(294, 565)","(282, 154)"
UOPMathews_018_1_9_WithLabel.png,,,,,"(243, 544)","(240, 142)"
UOPMathews_018_1_8_WithLabel.png,,,,,"(234, 569)","(232, 153)"
UOPMathews_013_1_6_WithLabel.png,,,,,"(257, 631)","(252, 216)"
UOPMathews_014_1_6_WithLabel.png,,,,,"(222, 539)","(223, 125)"
UOPMathews_019_1_4_WithLabel.png,,,,,"(202, 539)","(205, 126)"
UOPMathews_029_1_5_WithLabel.png,,,,,"(228, 547)","(222, 133)"
UOPMathews_004_1_1_WithLabel.png,,,,,"(271, 549)","(288, 137)"
UOPMathews_025_1_2_WithLabel.png,,,,,"(209, 524)","(206, 107)"
UOPMathews_020_1_10_WithLabel.png,,,,,"(241, 547)","(239, 146)"
UOPMathews_031_1_7_WithLabel.png,,,,,"(241, 579)","(236, 164)"
UOPMathews_015_1_6_WithLabel.png,,,,,"(270, 564)","(271, 148)"
UOPMathews_033_1_7_WithLabel.png,,,,,"(213, 536)","(212, 121)"
UOPMathews_027_1_8_WithLabel.png,,,,,"(235, 548)","(237, 131)"
UOPMathews_002_1_5_WithLabel.png,,,,,"(286, 597)","(285, 182)"
UOPMathews_004_1_3_WithLabel.png,,,,,"(281, 580)","(276, 166)"
UOPMathews_025_1_9_WithLabel.png,,,,,"(232, 544)","(225, 131)"
UOPMathews_033_1_8_WithLabel.png,,,,,"(235, 548)","(228, 133)"
UOPMathews_011_1_2_WithLabel.png,,,,,"(254, 588)","(249, 172)"
UOPMathews_034_1_1_WithLabel.png,,,,,"(209, 517)","(202, 102)"
UOPMathews_030_1_5_WithLabel.png,,,,,"(266, 559)","(263, 158)"
UOPMathews_020_1_6_WithLabel.png,,,,,"(223, 538)","(225, 121)"
UOPMathews_015_1_9_WithLabel.png,,,,,"(268, 549)","(262, 147)"
UOPMathews_025_1_5_WithLabel.png,,,,,"(234, 552)","(226, 138)"
UOPMathews_025_1_14_WithLabel.png,,,,,"(253, 556)","(246, 155)"
UOPMathews_017_1_5_WithLabel.png,,,,,"(236, 543)","(231, 129)"
UOPMathews_018_1_11_WithLabel.png,,,,,"(237, 556)","(232, 154)"
